Code,CCMCC
A021,mcc
A0221,mcc
A0222,mcc
A064,mcc
A065,mcc
A066,mcc
A170,mcc
A171,mcc
A1781,mcc
A1782,mcc
A1783,mcc
A1789,mcc
A1831,mcc
A190,mcc
A191,mcc
A192,mcc
A198,mcc
A199,mcc
A200,mcc
A201,mcc
A202,mcc
A203,mcc
A207,mcc
A208,mcc
A209,mcc
A221,mcc
A227,mcc
A267,mcc
A2781,mcc
A327,mcc
A33,mcc
A35,mcc
A3701,mcc
A3711,mcc
A3781,mcc
A3791,mcc
A390,mcc
A391,mcc
A392,mcc
A393,mcc
A394,mcc
A3950,mcc
A3951,mcc
A3952,mcc
A3953,mcc
A3981,mcc
A400,mcc
A401,mcc
A403,mcc
A408,mcc
A409,mcc
A4101,mcc
A4102,mcc
A411,mcc
A412,mcc
A413,mcc
A414,mcc
A4150,mcc
A4151,mcc
A4152,mcc
A4153,mcc
A4159,mcc
A4181,mcc
A4189,mcc
A419,mcc
A427,mcc
A480,mcc
A481,mcc
A483,mcc
A5041,mcc
A5042,mcc
A5141,mcc
A5213,mcc
A5214,mcc
A5481,mcc
A5486,mcc
A800,mcc
A801,mcc
A802,mcc
A8030,mcc
A8039,mcc
A830,mcc
A831,mcc
A832,mcc
A833,mcc
A834,mcc
A835,mcc
A836,mcc
A838,mcc
A839,mcc
A840,mcc
A841,mcc
A848,mcc
A849,mcc
A852,mcc
A9230,mcc
A9231,mcc
A9232,mcc
A9239,mcc
B003,mcc
B004,mcc
B007,mcc
B0082,mcc
B0111,mcc
B0112,mcc
B012,mcc
B021,mcc
B0224,mcc
B050,mcc
B052,mcc
B0601,mcc
B1001,mcc
B1009,mcc
B150,mcc
B160,mcc
B162,mcc
B1711,mcc
B190,mcc
B1911,mcc
B1921,mcc
B250,mcc
B252,mcc
B261,mcc
B262,mcc
B371,mcc
B375,mcc
B376,mcc
B377,mcc
B384,mcc
B390,mcc
B391,mcc
B392,mcc
B440,mcc
B451,mcc
B460,mcc
B461,mcc
B462,mcc
B463,mcc
B464,mcc
B465,mcc
B468,mcc
B469,mcc
B509,mcc
B582,mcc
B583,mcc
B5881,mcc
B59,mcc
B7781,mcc
D5700,mcc
D5701,mcc
D5702,mcc
D57211,mcc
D57212,mcc
D57219,mcc
D57411,mcc
D57412,mcc
D57419,mcc
D57811,mcc
D57812,mcc
D57819,mcc
D593,mcc
D600,mcc
D601,mcc
D608,mcc
D609,mcc
D611,mcc
D612,mcc
D613,mcc
D61810,mcc
D61811,mcc
D6189,mcc
D65,mcc
D66,mcc
D67,mcc
E035,mcc
E0501,mcc
E0511,mcc
E0521,mcc
E0531,mcc
E0541,mcc
E0581,mcc
E0591,mcc
E0800,mcc
E0801,mcc
E0810,mcc
E0811,mcc
E08641,mcc
E0900,mcc
E0901,mcc
E0910,mcc
E0911,mcc
E09641,mcc
E1010,mcc
E1011,mcc
E10641,mcc
E1100,mcc
E1101,mcc
E1110,mcc
E1111,mcc
E11641,mcc
E1300,mcc
E1301,mcc
E1310,mcc
E1311,mcc
E13641,mcc
E40,mcc
E41,mcc
E42,mcc
E43,mcc
E840,mcc
E8411,mcc
E883,mcc
G000,mcc
G001,mcc
G002,mcc
G003,mcc
G008,mcc
G009,mcc
G01,mcc
G02,mcc
G030,mcc
G038,mcc
G039,mcc
G0400,mcc
G0401,mcc
G0402,mcc
G042,mcc
G0430,mcc
G0431,mcc
G0432,mcc
G0439,mcc
G0481,mcc
G0489,mcc
G0490,mcc
G0491,mcc
G053,mcc
G054,mcc
G060,mcc
G061,mcc
G062,mcc
G07,mcc
G08,mcc
G210,mcc
G374,mcc
G40301,mcc
G40311,mcc
G40319,mcc
G7001,mcc
G800,mcc
G8250,mcc
G8251,mcc
G8252,mcc
G8253,mcc
G8254,mcc
G835,mcc
G92,mcc
G9341,mcc
G935,mcc
G936,mcc
G937,mcc
